"slug_tabela","dimensao","nome_publicado","descricao","responsavel","fonte_original","fonte_extracao","link","licenca","licenca_url","periodicidade_fonte","data_ultima_atualizacao_fonte","chave_primaria","granularidade","metodo_acesso","script_ingestao","citacao_recomendada","regra_preenchimento_temporal","cobertura_temporal_da_fonte","observacoes"
"00_diretorios/municipios","00_diretorios","Diretório de municípios","Tabela de referência com os 5.570 municípios brasileiros: equivalências entre os códigos usados por IBGE, TSE, Receita Federal e Banco Central, hierarquia territorial completa (região, UF, mesorregião, microrregião, regiões imediata, intermediária, metropolitana e de saúde), e o centróide. É a espinha do painel: nenhuma outra tabela publica o bloco territorial.",,"IBGE","Base dos Dados","https://basedosdados.org/dataset/br-bd-diretorios-brasil","a verificar",,"eventual",,"id_municipio","municipio (transversal, sem dimensão temporal)","bigquery","fontes/00_diretorios/municipios/R/extrair_municipios.R","IBGE, via Base dos Dados. Diretório de municípios brasileiros. Compilado no MAPEmunicipios.","nenhuma","atemporal","Snapshot dos municípios existentes hoje. Não representa a divisão territorial de anos anteriores: em 1991 havia cerca de 4.491 municípios, e Mojuí dos Campos foi criado em 2013. Ver a decisão 3.2 do plano. Durante a migração a tabela foi produzida a partir do artefato herdado, sem reextração, conforme a seção 12.2 do plano."
"01_assistencia_social_dh","01_assistencia_social_dh","Assistência Social e Direitos Humanos (dimensão consolidada)","Tabela de dimensão, gerada pela junção das tabelas de fonte cadunico e disque100.",,"MDS/SAGI e MDHC","derivada das tabelas de fonte desta dimensão","","a verificar",,"anual",,"id_municipio, ano","municipio x ano","arquivo_local","R/dimensao.R (mape_consolidar_dimensao)","","nenhuma","2011-2023","Tabela DERIVADA. A camada canônica é a fonte; esta é gerada e republicada a cada execução."
"01_assistencia_social_dh/cadunico","01_assistencia_social_dh","CadÚnico — famílias com cadastro atualizado","Contagem de famílias inscritas no Cadastro Único com dados atualizados, por faixa de renda per capita, e a Taxa de Atualização Cadastral do município. Uma família é considerada atualizada quando a última alteração de campos sensíveis tem menos de 24 meses.",,"Ministério do Desenvolvimento e Assistência Social (MDS/SAGI)","SAGI — indicador IN004 e Taxa de Atualização Cadastral","https://wiki-sagi.mds.gov.br/home/DS/Cad/I/IN004","a verificar",,"mensal",,"id_municipio, ano","municipio x ano (snapshot de dezembro de cada ano)","download_manual","fontes/01_assistencia_social_dh/cadunico/R/tratar_cadunico.R","MDS/SAGI. Cadastro Único para Programas Sociais, indicadores municipais. Compilado no MAPEmunicipios.","nenhuma","2015-2024 (mensal)","O snapshot anual é o mês de dezembro, por causa de um filtro herdado do legado ('12$'). Isso descarta 2024, cujo arquivo bruto vai até novembro: a fonte cobre 2015-2024 e a tabela entrega 2015-2023. Rever se o snapshot deve passar a ser o último mês disponível. A origem desta fonte esteve perdida e foi reconstruída no planejamento; não há script de download, apenas o procedimento no README. LIMITAÇÃO CONHECIDA: a Taxa de Atualização Cadastral restrita à faixa de até meio salário mínimo passa de 100% em 59 municípios, todos no ano de 2016, chegando a 128,8%. Uma razão entre cadastros atualizados e cadastros totais não pode exceder 100% por definição; o excesso indica que numerador e denominador foram apurados em momentos diferentes, de modo que famílias que mudaram de faixa de renda entre as duas contagens aparecem só no numerador. Os valores foram MANTIDOS como vieram da fonte, sem truncamento, porque truncar esconderia o problema. A concentração em um único ano sugere falha na extração daquela edição. A outra taxa da mesma tabela tem máximo exatamente 100,00, o que indica que ela é truncada na origem e esta não é."
"01_assistencia_social_dh/disque100","01_assistencia_social_dh","Disque 100 — denúncias de violações de direitos humanos","Contagem anual de violações de direitos humanos denunciadas ao Disque Direitos Humanos, por município, no total e por grupo vulnerável.",,"Ministério dos Direitos Humanos e da Cidadania","Microdados do Disque 100","","a verificar",,"anual",,"id_municipio, ano","municipio x ano","download_manual","fontes/01_assistencia_social_dh/disque100/R/tratar_disque100.R","MDHC. Disque Direitos Humanos (Disque 100), microdados. Compilado no MAPEmunicipios.","nenhuma","2011-2023","Não há URL, órgão de extração, data ou script de download registrados em nenhum lugar da árvore legada. A procedência precisa ser reconstruída antes de a fonte poder ser atualizada. A contagem é de DENÚNCIAS, não de violações confirmadas, e é sensível à propensão a denunciar — que varia entre municípios e ao longo do tempo."
"02_populacao","02_populacao","População residente e composição religiosa","População residente municipal estimada pelo IBGE e proporção de adeptos por grupo religioso, esta última medida apenas nos censos de 2000 e 2010 e replicada para os anos intermediários no legado.",,"IBGE","Base dos Dados e censobr","","a verificar",,"anual (população) e censitária (religião)",,"id_municipio, ano","municipio x ano","arquivo_local","tools/migracao/migrar_dimensoes.R","","valor_unico_replicado","1991-2023","As cinco colunas de composição religiosa vêm dos censos de 2000 e 2010 e são replicadas sobre 1996-2005 e 2006-2015. A coluna ano_censo é a única pista de que o valor é replicado, e ela sobreviveu por acidente. A população de 2023 vem de um arquivo cujo merge com o diretório foi feito à mão no Excel, sem código — ver a seção 8.5 do plano."
"03_meio_ambiente","03_meio_ambiente","Meio ambiente: desastres, saneamento, desmatamento e risco climático","Reúne quatro fontes com coberturas muito diferentes: desastres do Atlas S2iD, saneamento do SNIS, desmatamento do PRODES e índices de risco e capacidade adaptativa do AdaptaBrasil.",,"SEDEC/MIDR e CEPED/UFSC, SNIS, INPE e MCTI","Base dos Dados e downloads manuais","","a verificar",,"anual, com exceções",,"id_municipio, ano","municipio x ano","arquivo_local","tools/migracao/migrar_dimensoes.R","","valor_unico_replicado","1991-2023","QUATRO FONTES COM COBERTURAS QUE MAL SE SOBREPÕEM: o Atlas de Desastres vai de 1991 a 2023, o SNIS de 1995 a 2022, o PRODES de 2000 a 2022, e o AdaptaBrasil é um RETRATO ÚNICO DE 2015 replicado sobre 2010-2020. As dezesseis colunas do AdaptaBrasil chegam ao artefato com nomes AB1.1 a AB9.2 e só recebem nome legível no renomeio posicional da etapa 3 do legado. O mapeamento foi reconstruído e gravado em tools/migracao/mapa_renomeio_posicional.csv. DOIS INDICADORES PERDIDOS POR JUNÇÃO MAL ESPECIFICADA: oito indicadores do AdaptaBrasil são de 2015 e dois são de 2016; a junção inclui o ano na chave, o consolidador filtra ano == 2015, e os dois de 2016 somem — não por decisão, mas por consequência. indice_risco_seca é numérica e indice_risco_inundacoes_enxurradas é texto, vindas da mesma fonte e do mesmo bloco, porque a segunda usa o sentinela textual NaoDisponivel. O tratamento de sentinelas recupera o tipo."
"03_meio_ambiente/adaptabrasil","03_meio_ambiente","AdaptaBrasil — risco climático, vulnerabilidade e capacidade adaptativa","Índices de risco, vulnerabilidade e capacidade de adaptação a inundações, enxurradas e seca, mais a adesão ao programa Cidades Resilientes. É um retrato único, não uma série: o AdaptaBrasil publica um valor por município, e o legado o replicava de 2010 a 2020 sem registrar que era o mesmo número onze vezes.",,"AdaptaBrasil MCTI","portal AdaptaBrasil (selecao manual de filtros)","https://adaptabrasil.mcti.gov.br/","a verificar",,"eventual",,"id_municipio","municipio (retrato unico de 2015)","download_manual","","","valor_unico_replicado","2015","O legado replicava o retrato de 2015 sobre 2010-2020, gerando 61.270 linhas a partir de 5.570 medições. A replicação continua disponível na dimensao 03_meio_ambiente; aqui fica o observado."
"04_economia","04_economia","PIB municipal e valor adicionado","Produto Interno Bruto municipal, valor adicionado por setor e indicadores derivados, do Sistema de Contas Regionais do IBGE.",,"IBGE — Contas Regionais","Base dos Dados","","a verificar",,"anual",,"id_municipio, ano","municipio x ano","arquivo_local","tools/migracao/migrar_dimensoes.R","","nenhuma","1999-2021","A coluna `populacao` que acompanhava esta fonte foi DESCARTADA: ela é uma segunda extração da mesma tabela do IBGE já publicada em 02_populacao, idêntica em 100% das linhas comparáveis, e a duplicação faz a mesma consulta ser faturada duas vezes. CONSEQUÊNCIA CONHECIDA: pib_per_capita foi calculado com esse denominador, que o legado descarta depois da junção. Isso torna a coluna não reproduzível a partir da base publicada. Ao reextrair, o cálculo deve passar a usar 02_populacao explicitamente. Os valores monetários já vêm deflacionados para dezembro de 2023, e a série nominal não existe no repositório."
"05_sociedade","05_sociedade","Vulnerabilidade social e desenvolvimento humano","Índice de Vulnerabilidade Social, seus subíndices e o IDHM, do Atlas da Vulnerabilidade Social do Ipea.",,"Ipea — Atlas da Vulnerabilidade Social","Base dos Dados","","a verificar",,"censitária",,"id_municipio, ano","municipio x ano","arquivo_local","tools/migracao/migrar_dimensoes.R","","valor_unico_replicado","2000 e 2010","São DUAS observações reais por município, dos censos de 2000 e 2010, replicadas sobre 1996-2015. A coluna ano_avs registra o ano da medição e é a única forma de distinguir o dado medido do replicado. Ao adotar o armazenamento por observação (decisão 3.3 do plano), esta tabela cai de 111.300 para cerca de 11.140 linhas."
"05_sociedade/atlas_ivs","05_sociedade","Atlas da Vulnerabilidade Social — IVS e IDHM","Índice de Vulnerabilidade Social e seus três subíndices, IDHM, percentual de vulneráveis à pobreza e classe de prosperidade social. Medido nos censos de 2000 e 2010.",,"IPEA — Atlas da Vulnerabilidade Social","ivs.ipea.gov.br","http://ivs.ipea.gov.br/","a verificar",,"censitaria",,"id_municipio, ano","municipio x ano censitario (2000 e 2010)","download_manual","","","valor_unico_replicado","2000, 2010","O legado replicava o censo de 2000 sobre 1996-2005 e o de 2010 sobre 2006-2015, gerando 111.300 linhas a partir de 11.130 medições. Cinco municípios não aparecem nos dois censos."
"06_financas","06_financas","Finanças municipais: receitas orçamentárias e emendas parlamentares","Receitas orçamentárias municipais do SICONFI e valores de emendas parlamentares por função orçamentária, da CGU.",,"Tesouro Nacional (SICONFI) e Controladoria-Geral da União","Base dos Dados e Portal da Transparência","","a verificar",,"anual",,"id_municipio, ano","municipio x ano","arquivo_local","tools/migracao/migrar_dimensoes.R","","nenhuma","1989-2024","CHAVE DUPLICADA NA ORIGEM: 222 pares município-ano aparecem mais de uma vez, com 235 linhas excedentes. A causa provável é a junção entre receitas e emendas, feita sem verificação de cardinalidade, combinada com o fato de as emendas serem associadas ao município POR NOME, sem UF — 1.067 de 11.649 linhas têm UF divergente, e o próprio comentário do script legado admite o problema. As 24 colunas de emendas chegam ao artefato com nomes em Title Case e com acento, gerados por pivot_wider (Comércio.e.serviços, Ciência.e.Tecnologia). Elas colidem com os NOMES DAS PRÓPRIAS DIMENSÕES do painel. O mapeamento para valor_emendas_* foi reconstruído e gravado. A receita própria é classificada por expressão regular sobre texto livre, procurando IPTU, ITBI e ISS no nome da conta. total_receitas_fundeb MEDE A DEDUÇÃO do FUNDEB, não uma receita. Os valores já vêm deflacionados para dezembro de 2023, sem sufixo."
"07_recursos_humanos","07_recursos_humanos","Recursos humanos da administração municipal","Vínculos da administração direta e indireta municipal por tipo (estatutários, CLT, comissionados, estagiários), da pesquisa MUNIC.",,"IBGE — Pesquisa de Informações Básicas Municipais","arquivos .xlsx da MUNIC, por edição","","a verificar",,"bienal",,"id_municipio, ano","municipio x ano","arquivo_local","tools/migracao/migrar_dimensoes.R","","nenhuma","2009-2023, faltando 2010, 2016 e 2022","DEFEITO CORRIGIDO NA MIGRAÇÃO: a planilha de 2019 traz 80 linhas fantasma, que contêm apenas o caractere '-' e atravessavam o pipeline com id_municipio nulo. Elas são eliminadas aqui. DEFEITO NÃO CORRIGIDO: em 2011 a variável de existência de administração indireta recebeu a coluna do total de funcionários, o que torna essa coluna categórica em onze anos e numérica em 2011. As edições de 2010, 2016 e 2022 nunca foram baixadas."
